Categoria,Tutorial,Prodotto/Funzione,Obiettivo,URL
AI literacy,How AI gets its character,Modelli / comportamento,Capire come vengono modellati stile e comportamento dei sistemi AI,https://claude.com/resources/tutorials/how-ai-gets-its-character
AI literacy,Understanding knowledge gaps in AI models,Limiti / verifica,Riconoscere lacune di conoscenza e calibrare la fiducia,https://claude.com/resources/tutorials/understanding-knowledge-gaps-in-ai-models
Claude.ai / Team,Tasks to try with @Claude in your workspace,@Claude,Esempi di attività collaborative nei workspace,https://claude.com/resources/tutorials/tasks-to-try-with-claude-tag-in-your-workspace
Claude.ai / Team,Best practices using @Claude,@Claude,"Buone pratiche per menzioni, richieste e collaborazione",https://claude.com/resources/tutorials/best-practices-using-claude-tag
Claude Cowork,Using Claude Cowork for legal question briefing,Cowork,Preparare briefing legali con fonti e controllo umano,https://claude.com/resources/tutorials/using-claude-cowork-for-legal-question-briefing
Claude Cowork,Using Claude Cowork for sales account research,Cowork,Delegare la ricerca commerciale e sintetizzare account,https://claude.com/resources/tutorials/using-claude-cowork-for-sales-account-research
Claude Cowork,Using Claude Cowork for marketing ops review,Cowork,Analizzare processi e materiali di marketing operations,https://claude.com/resources/tutorials/using-claude-cowork-for-marketing-ops-review
Business,Using Claude for your small business,Claude.ai,Applicazioni operative per piccole imprese,https://claude.com/resources/tutorials/using-claude-for-your-small-business
Claude Cowork,Delegating your first task in Claude Cowork,Cowork,Impostare una prima delega ben definita,https://claude.com/resources/tutorials/delegating-your-first-task-in-claude-cowork
Claude Cowork,Customize Claude Cowork,Cowork,Personalizzare modalità di lavoro e contesto,https://claude.com/resources/tutorials/customize-claude-cowork
AI Fluency,The 4 Ds of AI Fluency: behavioral indicators,4D framework,Usare indicatori osservabili per migliorare la collaborazione con l’AI,https://claude.com/resources/tutorials/the-4-ds-of-ai-fluency-behavioral-indicators
AI literacy,What is sycophancy in AI models,Limiti / verifica,Riconoscere risposte compiacenti e ridurre il bias di conferma,https://claude.com/resources/tutorials/what-is-sycophancy-in-ai-models
AI literacy,Why do AI models hallucinate,Limiti / verifica,Capire le allucinazioni e impostare verifiche,https://claude.com/resources/tutorials/why-do-ai-models-hallucinate
Design,Using Claude Design for prototypes and UX,Claude Design,Creare prototipi e supportare il processo UX,https://claude.com/resources/tutorials/using-claude-design-for-prototypes-and-ux
Design,Using Claude Design for presentations and slide decks,Claude Design,Produrre e iterare presentazioni,https://claude.com/resources/tutorials/using-claude-design-for-presentations-and-slide-decks
Agenti,What is Claude managed agents,Managed agents,Capire quando utilizzare agenti gestiti,https://claude.com/resources/tutorials/what-is-claude-managed-agents
Percorso consigliato,Getting good at Claude: a research-backed curriculum,Claude.ai,Seguire un percorso progressivo basato sulla ricerca,https://claude.com/resources/tutorials/getting-good-at-claude-a-research-backed-curriculum
Claude Code,Using Claude Code Remote Control,Remote Control,Controllare sessioni Claude Code da remoto,https://claude.com/resources/tutorials/using-claude-code-remote-control
Education,Imagine with Claude: student guide,Claude.ai,Attività guidate per studenti,https://claude.com/resources/tutorials/imagine-with-claude-student-guide
Claude.ai,Choosing the right Claude model,Modelli,"Scegliere il modello in base a complessità, velocità e costo",https://claude.com/resources/tutorials/choosing-the-right-claude-model
Claude Cowork / Plugin,How to customize plugins in Cowork,Plugin,Adattare plugin esistenti ai propri workflow,https://claude.com/resources/tutorials/how-to-customize-plugins-in-cowork
Claude Cowork / Plugin,How to build a plugin from scratch in Cowork,Plugin,Costruire un plugin Cowork da zero,https://claude.com/resources/tutorials/how-to-build-a-plugin-from-scratch-in-cowork
Claude Code / Skills,How skills compare to other Claude Code features,Skills,"Distinguere Skill, CLAUDE.md, subagent, MCP, hook e plugin",https://claude.com/resources/tutorials/how-skills-compare-to-other-claude-code-features
Claude Code / Skills,What are skills,Skills,Comprendere struttura e casi d’uso delle Skill,https://claude.com/resources/tutorials/what-are-skills
Claude Desktop,Navigating the Claude desktop app,Desktop app,Orientarsi nell’app desktop,https://claude.com/resources/tutorials/navigating-the-claude-desktop-app
Claude.ai,Get the most from Claude Opus 4.6,Modelli,Sfruttare le capacità del modello Opus 4.6,https://claude.com/resources/tutorials/get-the-most-from-claude-opus-4-6
Excel,Getting started with Claude in Excel,Claude in Excel,Impostare l’integrazione e il primo workflow,https://claude.com/resources/tutorials/getting-started-with-claude-in-excel
Excel / Finance,How to use Claude in Excel for accounting revenue model validation,Claude in Excel,Validare modelli di ricavo e controlli contabili,https://claude.com/resources/tutorials/how-to-use-claude-in-excel-for-accounting-revenue-model-validation
Excel / HR,How to use Claude in Excel for HR headcount planning,Claude in Excel,Analizzare e pianificare l’organico,https://claude.com/resources/tutorials/how-to-use-claude-in-excel-for-hr-headcount-planning
Claude Code / GitHub,Using the GitHub integration,GitHub,Collegare repository e usare il contesto GitHub,https://claude.com/resources/tutorials/using-the-github-integration
