Categoria,Tutorial,Prodotto/Funzione,Obiettivo,URL
Claude.ai / Team,Tasks to try with @Claude in your workspace,@Claude,Esempi di attività collaborative nei workspace,https://academy.claude.com/tutorials/tasks-to-try-with-claude-tag-in-your-workspace
Claude.ai / Team,Best practices using @Claude,@Claude,"Buone pratiche per menzioni, richieste e collaborazione",https://academy.claude.com/tutorials/best-practices-using-claude-tag
Claude Cowork,Using Claude Cowork for legal question briefing,Cowork,Preparare briefing legali con fonti e controllo umano,https://academy.claude.com/tutorials/using-claude-cowork-for-legal-question-briefing
Claude Cowork,Using Claude Cowork for sales account research,Cowork,Delegare la ricerca commerciale e sintetizzare account,https://academy.claude.com/tutorials/using-claude-cowork-for-sales-account-research
Claude Cowork,Using Claude Cowork for marketing ops review,Cowork,Analizzare processi e materiali di marketing operations,https://academy.claude.com/tutorials/using-claude-cowork-for-marketing-ops-review
Business,Using Claude for your small business,Claude.ai,Applicazioni operative per piccole imprese,https://academy.claude.com/tutorials/using-claude-for-your-small-business
Claude Cowork,Delegating your first task in Claude Cowork,Cowork,Impostare una prima delega ben definita,https://academy.claude.com/tutorials/delegating-your-first-task-in-claude-cowork
Claude Cowork,Customize Claude Cowork,Cowork,Personalizzare modalità di lavoro e contesto,https://academy.claude.com/tutorials/customize-claude-cowork
AI Fluency,The 4 Ds of AI Fluency: behavioral indicators,4D framework,Usare indicatori osservabili per migliorare la collaborazione con l’AI,https://academy.claude.com/tutorials/the-4-ds-of-ai-fluency-behavioral-indicators
AI literacy,What is sycophancy in AI models,Limiti / verifica,Riconoscere risposte compiacenti e ridurre il bias di conferma,https://academy.claude.com/tutorials/what-is-sycophancy-in-ai-models
AI literacy,Why do AI models hallucinate,Limiti / verifica,Capire le allucinazioni e impostare verifiche,https://academy.claude.com/tutorials/why-do-ai-models-hallucinate
Design,Using Claude Design for prototypes and UX,Claude Design,Creare prototipi e supportare il processo UX,https://academy.claude.com/tutorials/using-claude-design-for-prototypes-and-ux
Design,Using Claude Design for presentations and slide decks,Claude Design,Produrre e iterare presentazioni,https://academy.claude.com/tutorials/using-claude-design-for-presentations-and-slide-decks
Agenti,What is Claude managed agents,Managed agents,Capire quando utilizzare agenti gestiti,https://academy.claude.com/tutorials/what-is-claude-managed-agents
Percorso consigliato,Getting good at Claude: a research-backed curriculum,Claude.ai,Seguire un percorso progressivo basato sulla ricerca,https://academy.claude.com/tutorials/getting-good-at-claude-a-research-backed-curriculum
Claude Code,Using Claude Code Remote Control,Remote Control,Controllare sessioni Claude Code da remoto,https://academy.claude.com/tutorials/using-claude-code-remote-control
Education,Imagine with Claude: student guide,Claude.ai,Attività guidate per studenti,https://academy.claude.com/tutorials/imagine-with-claude-student-guide
Claude.ai,Choosing the right Claude model,Modelli,"Scegliere il modello in base a complessità, velocità e costo",https://academy.claude.com/tutorials/choosing-the-right-claude-model
Claude Cowork / Plugin,How to customize plugins in Cowork,Plugin,Adattare plugin esistenti ai propri workflow,https://academy.claude.com/tutorials/how-to-customize-plugins-in-cowork
Claude Cowork / Plugin,How to build a plugin from scratch in Cowork,Plugin,Costruire un plugin Cowork da zero,https://academy.claude.com/tutorials/how-to-build-a-plugin-from-scratch-in-cowork
Claude Code / Skills,How skills compare to other Claude Code features,Skills,"Distinguere Skill, CLAUDE.md, subagent, MCP, hook e plugin",https://academy.claude.com/tutorials/how-skills-compare-to-other-claude-code-features
Claude Code / Skills,What are skills,Skills,Comprendere struttura e casi d’uso delle Skill,https://academy.claude.com/tutorials/what-are-skills
Claude Desktop,Navigating the Claude desktop app,Desktop app,Orientarsi nell’app desktop,https://academy.claude.com/tutorials/navigating-the-claude-desktop-app
Excel,Getting started with Claude in Excel,Claude in Excel,Impostare l’integrazione e il primo workflow,https://academy.claude.com/tutorials/getting-started-with-claude-in-excel
